"", "ID1", "Year", "ID2", "Latitude", "Longitude", "Elevation", "Tmax01", "Tmax02", "Tmax03", "Tmax04", "Tmax05", "Tmax06", "Tmax07", "Tmax08", "Tmax09", "Tmax10", "Tmax11", "Tmax12", "Tmin01", "Tmin02", "Tmin03", "Tmin04", "Tmin05", "Tmin06", "Tmin07", "Tmin08", "Tmin09", "Tmin10", "Tmin11", "Tmin12", "Tave01", "Tave02", "Tave03", "Tave04", "Tave05", "Tave06", "Tave07", "Tave08", "Tave09", "Tave10", "Tave11", "Tave12", "PPT01", "PPT02", "PPT03", "PPT04", "PPT05", "PPT06", "PPT07", "PPT08", "PPT09", "PPT10", "PPT11", "PPT12", "DD_0_01", "DD_0_02", "DD_0_03", "DD_0_04", "DD_0_05", "DD_0_06", "DD_0_07", "DD_0_08", "DD_0_09", "DD_0_10", "DD_0_11", "DD_0_12", "DD5_01", "DD5_02", "DD5_03", "DD5_04", "DD5_05", "DD5_06", "DD5_07", "DD5_08", "DD5_09", "DD5_10", "DD5_11", "DD5_12", "DD_18_01", "DD_18_02", "DD_18_03", "DD_18_04", "DD_18_04", "DD_18_05", "DD_18_06", "DD_18_07", "DD_18_08", "DD_18_09", "DD_18_10", "DD_18_11", "DD_18_12", "DD18_01", "DD18_02", "DD18_03", "DD18_04", "DD18_05", "DD18_06", "DD18_07", "DD18_08", "DD18_09", "DD18_10", "DD18_11", "DD18_12", "NFFD01", "NFFD02", "NFFD03", "NFFD04", "NFFD05", "NFFD06", "NFFD07", "NFFD08", "NFFD09", "NFFD10", "NFFD11", "NFFD12", "PAS01", "PAS02", "PAS03", "PAS04", "PAS05", "PAS06", "PAS07", "PAS08", "PAS09", "PAS10", "PAS11", "PAS12", "Eref01", "Eref02", "Eref03", "Eref04", "Eref05", "Eref06", "Eref07", "Eref08", "Eref09", "Eref10", "Eref11", "Eref12", "CMD01", "CMD02", "CMD03", "CMD04", "CMD05", "CMD06", "CMD07", "CMD08", "CMD09", "CMD10", "CMD11", "CMD12", "RH01", "RH02", "RH03", "RH04", "RH05", "RH06", "RH07", "RH08", "RH09", "RH10", "RH11", "RH12", "NA_L1NAME"
"415267", "ak042.crn", 1940, "TW-B", 65.366667, -144.066666, 945, -9.5, -9.2, -4.7, 12.5, 14.2, 19.3, 21.6, 17.7, 9.6, -0.4, -10.7, -12.1, -17.4, -17.9, -16, -4.2, -0.1, 5.1, 6.2, 3.7, -1.6, -8.4, -18.8, -16.8, -13.5, -13.6, -10.4, 4.2, 7.1, 12.2, 13.9, 10.7, 4, -4.4, -14.8, -14.5, 19, 14, 9, 12, 29, 75, 70, 79, 43, 36, 27, 26, 419, 381, 324, 14, 2, 0, 0, 0, 9, 160, 440, 450, 0, 0, 1, 46, 83, 216, 276, 175, 34, 3, 0, 0, 974, 880, 881, 415, 415, 340, 176, 130, 228, 422, 696, 982, 1003, 0, 0, 0, 1, 1, 4, 5, 1, 0, 0, 0, 0, 0, 0, 0, 4, 14, 28, 30, 27, 9, 1, 0, 0, 18, 14, 9, 3, 4, 1, 1, 3, 19, 36, 23, 25, 0, 0, 0, 49, 74, 99, 105, 68, 27, 0, 0, 0, 0, 0, 0, 37, 45, 24, 36, 0, 0, 0, 0, 0, 65, 61, 53, 46, 55, 56, 54, 56, 62, 67, 64, 69, "NORTHWESTERN FORESTED MOUNTAINS"
"415525", "ak042.crn", 1962, "TW-B", 65.366667, -144.066666, 945, -12.4, -6.8, -7.7, 4.6, 9.5, 18.4, 20.9, 17.1, 6.5, 0.4, -10.2, -15.3, -21.1, -15.1, -19.3, -7.4, -0.3, 5.8, 8, 6.2, -2.6, -6.8, -17, -20.5, -16.7, -11, -13.5, -1.4, 4.6, 12.1, 14.4, 11.7, 1.9, -3.2, -13.6, -17.9, 20, 17, 10, 13, 35, 89, 80, 113, 41, 32, 21, 28, 520, 310, 421, 84, 7, 0, 0, 0, 20, 132, 406, 555, 0, 1, 0, 9, 41, 214, 292, 206, 18, 5, 0, 0, 1075, 807, 978, 581, 581, 416, 178, 116, 198, 482, 660, 947, 1109, 0, 0, 0, 0, 1, 3, 6, 2, 0, 0, 0, 0, 0, 0, 0, 1, 13, 28, 31, 30, 7, 2, 0, 0, 20, 17, 10, 12, 12, 1, 1, 3, 19, 41, 25, 27, 0, 0, 0, 0, 55, 93, 98, 62, 22, 0, 0, 0, 0, 0, 0, 0, 20, 4, 18, 0, 0, 0, 0, 0, 61, 64, 51, 55, 67, 61, 60, 66, 67, 70, 69, 76, "NORTHWESTERN FORESTED MOUNTAINS"
"415783", "ak042.crn", 1948, "TW-B", 65.366667, -144.066666, 945, -13, -10.9, -7.9, 2.7, 12.6, 18.9, 19.8, 13.9, 5.7, -2.3, -14.9, -22.9, -19.7, -19.5, -18.8, -10.4, 0.2, 6.4, 7.3, 3.1, -3.3, -9.4, -19.7, -28.3, -16.3, -15.2, -13.3, -3.9, 6.4, 12.7, 13.5, 8.5, 1.2, -5.9, -17.3, -25.6, 18, 15, 10, 11, 11, 61, 47, 95, 45, 33, 27, 27, 508, 428, 416, 144, 3, 0, 0, 0, 26, 190, 515, 792, 0, 0, 0, 4, 70, 230, 265, 110, 14, 2, 0, 0, 1062, 926, 973, 655, 655, 360, 157, 139, 296, 504, 743, 1058, 1347, 0, 0, 0, 0, 1, 4, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 29, 31, 25, 6, 1, 0, 0, 18, 15, 10, 11, 2, 0, 0, 8, 29, 33, 24, 25, 0, 0, 0, 0, 67, 95, 94, 56, 21, 0, 0, 0, 0, 0, 0, 0, 56, 34, 47, 0, 0, 0, 0, 0, 69, 61, 53, 50, 59, 61, 61, 65, 67, 70, 77, 81, "NORTHWESTERN FORESTED MOUNTAINS"
"416041", "ak042.crn", 1904, "TW-B", 65.366667, -144.066666, 945, -18.8, -17.3, -10.1, 6.8, 12.4, 18.7, 19.7, 14.6, 5.6, -2.3, -13, -12.7, -24.3, -27.2, -22.2, -7, 0.6, 6.1, 7.7, 2.9, -4.4, -10.9, -19.1, -16.8, -21.5, -22.2, -16.2, -0.1, 6.5, 12.4, 13.7, 8.8, 0.6, -6.6, -16, -14.8, 18, 15, 10, 12, 25, 68, 82, 79, 39, 37, 27, 26, 667, 623, 503, 59, 3, 0, 0, 0, 33, 202, 478, 459, 0, 0, 0, 13, 72, 223, 270, 117, 12, 2, 0, 0, 1222, 1123, 1061, 543, 543, 356, 168, 135, 288, 521, 766, 1020, 1012, 0, 0, 0, 0, 1, 4, 4, 0, 0, 0, 0, 0, 0, 0, 0, 1, 16, 29, 31, 25, 4, 0, 0, 0, 18, 15, 10, 9, 4, 0, 1, 6, 17, 37, 27, 26, 0, 0, 0, 0, 66, 94, 92, 58, 21, 0, 0, 0, 0, 0, 0, 0, 41, 26, 10, 0, 0, 0, 0, 0, 73, 54, 48, 51, 61, 61, 63, 63, 63, 64, 72, 84, "NORTHWESTERN FORESTED MOUNTAINS"
"416299", "ak042.crn", 1955, "TW-B", 65.366667, -144.066666, 945, -12.1, -15.1, -6.4, 3.7, 12.1, 17, 21.4, 13.3, 8.1, -3.1, -17.9, -19.3, -17.5, -24.2, -17.7, -10.1, 0.9, 6.2, 8.4, 3.3, -1.7, -10.1, -23, -24.4, -14.8, -19.6, -12.1, -3.2, 6.5, 11.6, 14.9, 8.3, 3.2, -6.6, -20.5, -21.8, 16, 16, 11, 14, 50, 79, 77, 120, 46, 34, 23, 30, 460, 550, 377, 128, 2, 0, 0, 0, 12, 202, 608, 676, 0, 0, 1, 5, 73, 199, 304, 105, 27, 2, 0, 0, 1015, 1050, 934, 636, 636, 356, 193, 103, 302, 444, 766, 1152, 1230, 0, 0, 0, 0, 1, 3, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 29, 31, 26, 9, 1, 0, 0, 16, 16, 11, 13, 8, 1, 0, 10, 24, 30, 24, 29, 0, 0, 0, 0, 64, 85, 100, 53, 24, 0, 0, 0, 0, 0, 0, 0, 14, 6, 23, 0, 0, 0, 0, 0, 75, 58, 52, 48, 63, 66, 60, 67, 66, 70, 75, 76, "NORTHWESTERN FORESTED MOUNTAINS"
"416557", "ak042.crn", 1920, "TW-B", 65.366667, -144.066666, 945, -18.8, -4.8, -8.5, 2.2, 10.6, 18.4, 21, 15.8, 8.6, -4.9, -9.7, -15.5, -24.6, -11.8, -20.5, -13.1, -2.6, 5.6, 5.6, 3.6, -4.5, -13.4, -16.5, -19.9, -21.7, -8.3, -14.5, -5.4, 4, 12, 13.3, 9.7, 2.1, -9.1, -13.1, -17.7, 17, 15, 10, 11, 17, 62, 79, 85, 32, 36, 25, 26, 673, 241, 451, 182, 10, 0, 0, 0, 19, 228, 392, 550, 0, 2, 0, 3, 34, 211, 259, 144, 19, 1, 0, 0, 1227, 733, 1009, 702, 702, 435, 180, 143, 259, 478, 845, 932, 1104, 0, 0, 0, 0, 1, 3, 3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 6, 28, 30, 26, 4, 0, 0, 0, 17, 15, 10, 11, 7, 1, 1, 5, 12, 36, 24, 26, 0, 0, 0, 0, 62, 94, 104, 62, 26, 0, 0, 0, 0, 0, 0, 0, 45, 32, 25, 0, 0, 0, 0, 0, 71, 70, 49, 43, 56, 60, 53, 61, 54, 64, 70, 71, "NORTHWESTERN FORESTED MOUNTAINS"
"416815", "ak042.crn", 1973, "TW-B", 65.366667, -144.066666, 945, -19.8, -9.1, -5.7, 7.3, 14.9, 19, 20.4, 14.6, 10.3, -3.5, -14.9, -13.7, -27, -20.8, -18.8, -6, 0, 5, 6.1, 4.9, -1.7, -11.1, -22.7, -18.7, -23.4, -15, -12.2, 0.6, 7.5, 12, 13.2, 9.7, 4.3, -7.3, -18.8, -16.2, 17, 14, 9, 12, 28, 94, 72, 83, 19, 36, 30, 22, 724, 422, 383, 47, 2, 0, 0, 0, 8, 211, 559, 504, 0, 0, 1, 17, 94, 211, 256, 145, 38, 1, 0, 0, 1279, 920, 939, 521, 521, 326, 181, 146, 258, 411, 788, 1102, 1057, 0, 0, 0, 0, 2, 3, 3, 1, 0, 0, 0, 0, 0, 0, 0, 2, 14, 28, 30, 29, 9, 0, 0, 0, 17, 14, 9, 9, 3, 1, 1, 5, 16, 38, 16, 25, 0, 0, 0, 36, 77, 98, 99, 55, 28, 0, 0, 0, 0, 0, 0, 24, 49, 4, 27, 0, 9, 0, 0, 0, 65, 50, 46, 53, 53, 57, 56, 69, 59, 67, 63, 70, "NORTHWESTERN FORESTED MOUNTAINS"
"417073", "ak042.crn", 1951, "TW-B", 65.366667, -144.066666, 945, -21.8, -13, -10.8, 7.5, 14.2, 17.6, 20.9, 18.9, 9.2, -4.4, -7.2, -17.8, -28.1, -22.4, -23.3, -5.5, 0.9, 6.1, 8.1, 6.6, 0, -13.4, -13.1, -23.9, -24.9, -17.7, -17, 1, 7.6, 11.9, 14.5, 12.8, 4.6, -8.9, -10.2, -20.9, 16, 14, 9, 14, 17, 76, 46, 54, 35, 39, 33, 26, 772, 496, 530, 42, 1, 0, 0, 0, 7, 226, 306, 646, 0, 0, 0, 19, 95, 207, 293, 242, 41, 1, 1, 0, 1327, 995, 1087, 510, 510, 324, 185, 114, 164, 403, 836, 845, 1200, 0, 0, 0, 0, 2, 3, 6, 4, 0, 0, 0, 0, 0, 0, 0, 2, 17, 29, 31, 30, 14, 0, 0, 0, 16, 14, 9, 9, 2, 1, 0, 1, 5, 37, 27, 26, 0, 0, 0, 37, 73, 89, 98, 69, 25, 0, 0, 0, 0, 0, 0, 23, 56, 12, 52, 15, 0, 0, 0, 0, 68, 57, 46, 54, 57, 64, 61, 62, 69, 62, 74, 76, "NORTHWESTERN FORESTED MOUNTAINS"
"417331", "ak042.crn", 1901, "TW-B", 65.366667, -144.066666, 945, -18, -14.4, -4.8, 4.4, 11.6, 18.2, 20.4, 15.8, 9.2, -1, -11, -14.2, -25.1, -24.1, -15.7, -12.7, -1, 5.5, 6.2, 3.4, -2.3, -10.4, -19.1, -19.1, -21.5, -19.2, -10.3, -4.2, 5.3, 11.8, 13.3, 9.6, 3.4, -5.7, -15, -16.6, 18, 15, 10, 12, 25, 68, 82, 79, 39, 37, 27, 26, 668, 539, 321, 152, 5, 0, 0, 0, 11, 186, 448, 516, 0, 0, 1, 4, 50, 206, 259, 140, 29, 2, 0, 0, 1222, 1039, 878, 664, 664, 395, 185, 143, 263, 438, 736, 990, 1070, 0, 0, 0, 0, 1, 3, 3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 11, 28, 30, 26, 8, 0, 0, 0, 18, 15, 10, 12, 7, 1, 1, 5, 13, 37, 27, 26, 0, 0, 0, 0, 65, 93, 99, 62, 26, 0, 0, 0, 0, 0, 0, 0, 40, 25, 17, 0, 0, 0, 0, 0, 66, 55, 54, 39, 58, 60, 57, 61, 60, 61, 64, 77, "NORTHWESTERN FORESTED MOUNTAINS"
"417589", "ak042.crn", 1915, "TW-B", 65.366667, -144.066666, 945, -10.8, -12, -3.5, 9.7, 14.9, 19.9, 21.4, 17.5, 9.1, -5.1, -9.4, -12.7, -16.6, -21.9, -12.9, -5.7, 0.7, 6.5, 8.5, 3.7, -1.9, -14.3, -17.7, -21.5, -13.7, -16.9, -8.2, 2, 7.8, 13.2, 15, 10.6, 3.6, -9.7, -13.5, -17.1, 17, 15, 10, 13, 17, 61, 64, 77, 41, 36, 25, 26, 428, 475, 260, 31, 1, 0, 0, 0, 10, 232, 404, 531, 0, 0, 2, 25, 101, 246, 305, 171, 30, 1, 0, 0, 982, 974, 814, 481, 481, 316, 146, 102, 231, 433, 864, 945, 1084, 0, 0, 0, 0, 2, 6, 8, 1, 0, 0, 0, 0, 0, 0, 0, 2, 16, 29, 31, 27, 9, 0, 0, 0, 17, 15, 10, 7, 1, 0, 0, 3, 15, 33, 24, 27, 0, 0, 0, 42, 76, 100, 100, 67, 26, 0, 0, 0, 0, 0, 0, 29, 60, 39, 36, 0, 0, 0, 0, 0, 73, 56, 60, 48, 55, 59, 61, 57, 62, 61, 63, 83, "NORTHWESTERN FORESTED MOUNTAINS"
"417847", "ak042.crn", 1954, "TW-B", 65.366667, -144.066666, 945, -17.9, -15.5, -3.3, 4.2, 13.9, 17.6, 18.9, 18.2, 8, 1.2, -7.4, -23.1, -25, -25.5, -14.8, -11.9, 0.4, 5.6, 7.5, 6.1, -2.8, -6.1, -13.5, -27.7, -21.5, -20.5, -9, -3.8, 7.1, 11.6, 13.2, 12.2, 2.6, -2.5, -10.4, -25.4, 18, 14, 10, 12, 48, 69, 61, 45, 59, 34, 25, 29, 666, 574, 277, 144, 2, 0, 0, 0, 16, 113, 312, 784, 0, 0, 1, 4, 85, 198, 256, 223, 22, 6, 1, 0, 1221, 1074, 840, 655, 655, 337, 194, 146, 182, 464, 636, 852, 1340, 0, 0, 0, 0, 2, 3, 3, 3, 0, 0, 0, 0, 0, 0, 0, 0, 15, 28, 31, 30, 6, 2, 0, 0, 18, 14, 10, 12, 6, 1, 1, 1, 11, 39, 16, 24, 0, 0, 0, 0, 72, 90, 89, 67, 25, 0, 0, 0, 0, 0, 0, 0, 24, 21, 28, 22, 0, 0, 0, 0, 66, 54, 52, 42, 57, 62, 64, 62, 62, 71, 73, 77, "NORTHWESTERN FORESTED MOUNTAINS"
"418105", "ak042.crn", 1967, "TW-B", 65.366667, -144.066666, 945, -15.9, -12.1, -5.1, 7.3, 11.8, 19.1, 18.5, 16.5, 8.7, -2.5, -7.4, -14.2, -24.1, -20.8, -16.8, -7.3, 0.9, 6.8, 7.3, 5.5, -2, -11.5, -15.5, -20.3, -20, -16.5, -10.9, 0, 6.3, 12.9, 12.9, 11, 3.3, -7, -11.4, -17.2, 18, 16, 12, 13, 52, 77, 144, 67, 63, 35, 32, 27, 620, 463, 341, 57, 3, 0, 0, 0, 11, 207, 342, 534, 0, 0, 1, 14, 69, 238, 245, 185, 28, 2, 0, 0, 1175, 962, 898, 540, 540, 362, 151, 159, 219, 440, 778, 882, 1088, 0, 0, 0, 0, 1, 5, 3, 1, 0, 0, 0, 0, 0, 0, 0, 1, 17, 29, 31, 29, 8, 0, 0, 0, 18, 16, 12, 10, 9, 0, 2, 2, 15, 38, 43, 26, 0, 0, 0, 37, 63, 95, 87, 61, 25, 0, 0, 0, 0, 0, 0, 24, 11, 18, 0, 0, 0, 0, 0, 0, 61, 60, 51, 49, 64, 62, 65, 65, 63, 63, 65, 68, "NORTHWESTERN FORESTED MOUNTAINS"
"418363", "ak042.crn", 1924, "TW-B", 65.366667, -144.066666, 945, -12.9, -12.2, -1.5, -2.4, 13.5, 17.7, 17.9, 15.3, 7.3, -5.4, -8.3, -17.4, -18.6, -20.2, -11.8, -16.2, 0.6, 4.6, 4.7, 3.1, -3.4, -13.8, -14.5, -22.8, -15.7, -16.2, -6.6, -9.3, 7.1, 11.1, 11.3, 9.2, 2, -9.6, -11.4, -20.1, 18, 15, 10, 13, 18, 54, 80, 76, 41, 37, 27, 26, 489, 455, 224, 285, 2, 0, 0, 0, 20, 231, 341, 623, 0, 0, 3, 1, 83, 185, 195, 128, 18, 1, 1, 0, 1044, 954, 766, 818, 818, 340, 207, 207, 276, 481, 858, 881, 1177, 0, 0, 0, 0, 1, 2, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 16, 27, 29, 25, 5, 0, 0, 0, 18, 15, 10, 13, 2, 1, 2, 5, 20, 29, 28, 25, 0, 0, 0, 0, 70, 92, 90, 60, 24, 0, 0, 0, 0, 0, 0, 0, 53, 38, 10, 0, 0, 0, 0, 0, 74, 64, 57, 45, 59, 59, 59, 61, 62, 64, 73, 72, "NORTHWESTERN FORESTED MOUNTAINS"
"418621", "ak042.crn", 1932, "TW-B", 65.366667, -144.066666, 945, -18.5, -18.8, -5.5, 7.9, 13, 16.3, 19.2, 13.9, 7, -0.4, -17.1, -18.2, -25.5, -30.4, -15.2, -7.8, -0.2, 3.4, 5.3, 4, -4.4, -9.3, -24.3, -22.7, -22, -24.6, -10.4, 0, 6.4, 9.9, 12.2, 8.9, 1.3, -4.8, -20.7, -20.4, 18, 15, 9, 12, 25, 81, 82, 134, 42, 37, 24, 25, 682, 688, 325, 56, 3, 0, 0, 0, 26, 169, 615, 633, 0, 0, 1, 14, 70, 147, 225, 122, 15, 3, 0, 0, 1236, 1188, 881, 539, 539, 360, 245, 179, 283, 501, 710, 1159, 1187, 0, 0, 0, 0, 1, 1, 2, 1, 0, 0, 0, 0, 0, 0, 0, 1, 13, 25, 30, 27, 4, 1, 0, 0, 18, 15, 9, 9, 4, 2, 1, 10, 17, 38, 33, 27, 0, 0, 0, 38, 69, 87, 95, 54, 24, 0, 0, 0, 0, 0, 0, 27, 45, 7, 13, 0, 0, 0, 0, 0, 66, 46, 58, 45, 57, 59, 57, 68, 59, 63, 66, 75, "NORTHWESTERN FORESTED MOUNTAINS"
"418879", "ak042.crn", 1964, "TW-B", 65.366667, -144.066666, 945, -17.6, -9.7, -11.7, 1.3, 8.5, 18.4, 18.4, 15.3, 8, -1.1, -10.6, -25.5, -24, -17.9, -22.5, -10.8, -2.1, 6.1, 7.5, 4.8, -1.8, -7.4, -16.8, -31.5, -20.8, -13.8, -17.1, -4.7, 3.2, 12.2, 12.9, 10.1, 3.1, -4.3, -13.7, -28.5, 16, 14, 10, 13, 13, 70, 89, 73, 43, 33, 31, 31, 645, 389, 532, 166, 14, 0, 0, 0, 13, 157, 409, 881, 0, 0, 0, 3, 26, 218, 247, 154, 26, 4, 0, 0, 1199, 887, 1090, 681, 681, 460, 174, 157, 248, 448, 693, 950, 1437, 0, 0, 0, 0, 0, 4, 3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 7, 29, 31, 29, 9, 1, 0, 0, 16, 14, 10, 13, 7, 1, 1, 4, 8, 39, 21, 26, 0, 0, 0, 0, 54, 93, 86, 58, 24, 0, 0, 0, 0, 0, 0, 0, 40, 22, 0, 0, 0, 0, 0, 0, 69, 63, 52, 53, 63, 62, 66, 66, 66, 73, 72, 78, "NORTHWESTERN FORESTED MOUNTAINS"
"419137", "ak042.crn", 1934, "TW-B", 65.366667, -144.066666, 945, -24.7, -5.5, -7.1, 7.3, 12.9, 18.3, 18.3, 15.6, 9.2, 0.1, -11.9, -12.5, -31.4, -14.4, -19, -8.3, -0.9, 3.9, 5.1, 4.8, -3.8, -8.4, -18.3, -16.8, -28.1, -9.9, -13, -0.5, 6, 11.1, 11.7, 10.2, 2.7, -4.1, -15.1, -14.7, 18, 15, 10, 13, 31, 45, 75, 98, 34, 38, 24, 28, 868, 273, 407, 66, 3, 0, 0, 0, 15, 154, 452, 455, 0, 1, 0, 12, 62, 184, 208, 159, 23, 4, 0, 0, 1423, 779, 964, 555, 555, 373, 208, 196, 244, 459, 688, 993, 1008, 0, 0, 0, 0, 1, 2, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 11, 26, 29, 29, 5, 1, 0, 0, 18, 14, 10, 11, 6, 1, 2, 5, 20, 37, 34, 26, 0, 0, 0, 0, 70, 97, 91, 59, 27, 0, 0, 0, 0, 0, 0, 0, 39, 51, 16, 0, 0, 0, 0, 0, 66, 62, 50, 45, 55, 55, 59, 65, 55, 65, 71, 68, "NORTHWESTERN FORESTED MOUNTAINS"
"419395", "ak042.crn", 1976, "TW-B", 65.366667, -144.066666, 945, -17.1, -16.9, -7.2, 8, 12.5, 19.1, 20.6, 18.3, 10.5, -1.9, -2.1, -15.1, -23.1, -27.5, -18.3, -6.2, -0.3, 4.5, 7.1, 6.3, -1.3, -11.7, -10.8, -20.6, -20.1, -22.2, -12.7, 0.9, 6.1, 11.8, 13.8, 12.3, 4.6, -6.8, -6.4, -17.9, 17, 14, 12, 11, 47, 40, 84, 76, 24, 33, 21, 25, 623, 623, 397, 43, 3, 0, 0, 0, 7, 205, 205, 554, 0, 0, 0, 18, 64, 205, 274, 227, 41, 2, 2, 0, 1178, 1123, 954, 512, 512, 369, 186, 131, 178, 402, 773, 732, 1108, 0, 0, 0, 0, 1, 3, 5, 3, 0, 0, 0, 0, 0, 0, 0, 2, 13, 27, 31, 30, 10, 0, 1, 0, 17, 14, 12, 7, 9, 0, 1, 2, 17, 35, 26, 24, 0, 0, 0, 38, 67, 100, 99, 67, 28, 0, 0, 0, 0, 0, 0, 27, 21, 60, 15, 0, 4, 0, 0, 0, 71, 51, 53, 50, 58, 55, 59, 63, 60, 59, 64, 69, "NORTHWESTERN FORESTED MOUNTAINS"
"419653", "ak042.crn", 1941, "TW-B", 65.366667, -144.066666, 945, -16.7, -4.9, -3.8, 10.1, 13.6, 20.2, 18.2, 17.8, 7.5, -3.9, -14.9, -18.1, -22.3, -14, -14.7, -5.1, 0, 5.8, 6.4, 5, -3.5, -12.2, -21, -23.2, -19.5, -9.5, -9.3, 2.5, 6.8, 13, 12.3, 11.4, 2, -8.1, -17.9, -20.7, 17, 15, 10, 13, 24, 74, 113, 58, 30, 36, 26, 25, 604, 264, 282, 26, 2, 0, 0, 0, 19, 219, 534, 640, 0, 1, 1, 29, 77, 240, 227, 198, 18, 1, 0, 0, 1158, 765, 847, 465, 465, 349, 150, 177, 206, 480, 811, 1076, 1194, 0, 0, 0, 0, 1, 5, 2, 2, 0, 0, 0, 0, 0, 0, 0, 3, 14, 28, 30, 29, 5, 0, 0, 0, 17, 14, 10, 6, 3, 0, 2, 2, 13, 35, 27, 26, 0, 0, 0, 43, 71, 103, 88, 67, 24, 0, 0, 0, 0, 0, 0, 29, 47, 28, 0, 9, 0, 0, 0, 0, 73, 61, 54, 49, 56, 56, 63, 60, 61, 65, 71, 78, "NORTHWESTERN FORESTED MOUNTAINS"
"419911", "ak042.crn", 1907, "TW-B", 65.366667, -144.066666, 945, -15.1, -19.6, -8.6, 6.7, 15.3, 18.1, 18.7, 16.6, 7.4, -3.8, -11.4, -13.6, -22.5, -27.5, -20.9, -7.7, 2.5, 4.6, 6.4, 4.5, -2.1, -11.3, -19.3, -18.5, -18.8, -23.5, -14.8, -0.5, 8.9, 11.3, 12.6, 10.5, 2.6, -7.6, -15.4, -16, 18, 15, 10, 12, 21, 66, 77, 74, 66, 42, 24, 26, 583, 659, 460, 65, 1, 0, 0, 0, 15, 214, 459, 497, 0, 0, 0, 12, 130, 191, 235, 169, 23, 1, 0, 0, 1138, 1159, 1017, 554, 554, 283, 201, 169, 233, 461, 796, 1000, 1051, 0, 0, 0, 0, 3, 2, 2, 1, 0, 0, 0, 0, 0, 0, 0, 1, 22, 27, 30, 28, 8, 0, 0, 0, 18, 15, 10, 10, 1, 1, 1, 3, 12, 35, 26, 27, 0, 0, 0, 0, 75, 94, 90, 63, 23, 0, 0, 0, 0, 0, 0, 0, 54, 28, 13, 0, 0, 0, 0, 0, 65, 61, 48, 49, 59, 58, 62, 62, 66, 68, 64, 76, "NORTHWESTERN FORESTED MOUNTAINS"
"420169", "ak042.crn", 1928, "TW-B", 65.366667, -144.066666, 945, -11, -5.9, -11.2, 4.2, 12.1, 18, 20, 15.3, 5.9, -3.4, -6.2, -9.8, -16.3, -13.1, -21.7, -11.7, 0.1, 5.3, 5.8, 3.7, -3, -11.9, -13.7, -16, -13.7, -9.5, -16.4, -3.7, 6.1, 11.7, 12.9, 9.5, 1.5, -7.7, -9.9, -12.9, 18, 15, 10, 12, 24, 71, 86, 90, 47, 37, 32, 28, 425, 265, 511, 141, 3, 0, 0, 0, 24, 215, 254, 401, 0, 0, 0, 2, 63, 200, 246, 138, 15, 1, 0, 0, 980, 766, 1069, 652, 652, 371, 191, 159, 265, 497, 799, 838, 953, 0, 0, 0, 0, 1, 3, 3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 14, 28, 30, 27, 6, 0, 0, 0, 18, 15, 10, 11, 5, 1, 1, 5, 22, 36, 22, 26, 0, 0, 0, 0, 65, 92, 98, 59, 21, 0, 0, 0, 0, 0, 0, 0, 41, 21, 13, 0, 0, 0, 0, 0, 75, 69, 54, 42, 61, 60, 56, 63, 68, 64, 67, 70, "NORTHWESTERN FORESTED MOUNTAINS"
"420427", "ak042.crn", 1914, "TW-B", 65.366667, -144.066666, 945, -17.9, -8.2, -7.3, 6.6, 15.3, 19.1, 20.9, 17.1, 7.3, 1.1, -10.6, -12.8, -23.1, -15.4, -15.6, -8.1, 1.4, 5.9, 9.8, 5.1, -2.9, -8.9, -17.2, -16.4, -20.5, -11.8, -11.4, -0.7, 8.4, 12.5, 15.3, 11.1, 2.2, -3.9, -13.9, -14.6, 17, 14, 10, 12, 22, 76, 77, 91, 35, 35, 24, 27, 636, 333, 357, 71, 1, 0, 0, 0, 18, 148, 415, 454, 0, 1, 1, 11, 116, 225, 322, 189, 20, 4, 0, 0, 1190, 830, 914, 562, 562, 299, 166, 92, 214, 474, 680, 956, 1007, 0, 0, 0, 0, 2, 4, 10, 2, 0, 0, 0, 0, 0, 0, 0, 1, 19, 28, 31, 29, 6, 1, 0, 0, 17, 14, 10, 11, 1, 0, 0, 3, 18, 37, 27, 26, 0, 0, 0, 0, 77, 97, 94, 64, 23, 0, 0, 0, 0, 0, 0, 0, 55, 20, 16, 0, 0, 0, 0, 0, 75, 68, 64, 48, 56, 59, 66, 62, 64, 60, 70, 70, "NORTHWESTERN FORESTED MOUNTAINS"
